SAMPLE	5UPKIR	HLA-E	HLA-G	KIR2DL1	KIR2DL2	KIR2DL3	KIR2DL4	KIR2DL5AB	KIR2DP1	KIR2DS1	KIR2DS2	KIR2DS3	KIR2DS4	KIR2DS5	KIR3DL1	KIR3DL2	KIR3DL3	KIR3DP1	KIR3DS1	LILRB1	LILRB2	LILRB3	LILRB4	LILRB5
596906101	1.30124	0.829764	0.886158	0.544991	1.03623	0	0.931011	0.984407	0.509438	0.457536	0.954354	0.432257	0.513774	0.291346	0.578259	1.07286	1	1.05856	0.640121	0.59524	0.536269	0.22606	0.467281	0.534798
597200217	0.934432	1.03202	0.903331	0.982399	0	0.895959	1.00929	1.07302	1.11759	1.01246	0	0	0	0.445622	0	1.01236	1	1.12666	0.894906	0.538365	0.514077	0.0276543	0.480019	0.510665
599208021	0.690796	0.917907	0.858127	0.0233571	0.8356	0	0	1.14648	0	1.00769	0.457708	0	0	0.503589	0	1.12318	1	0	0	0.425197	0.406874	0.245836	0.427054	0.480408
600211031	1.16067	1.00293	0.868727	0.594288	0.57035	0.44649	0.57305	0.580535	0.575121	0.644709	0.67045	0	0.663247	0.290486	0.579112	1.13087	1	0.524825	0	0.396252	0.392379	0.292661	0.453706	0.466967
601211052	1.02219	0.91842	0.91426	0.94131	0	0.822084	0.92275	0.0052748	0.872457	0	0	0	0.823954	0	0.893039	0.812203	1	0.879574	0	0.476746	0.400047	0.325574	0.452554	0.403081
602211091	1.00808	0.871937	0.899933	0.540868	0.441526	0.561694	0.945863	0	0.391403	0	0.379035	0	1.08661	0	0.951232	1.00459	1	1.00944	0	0.57307	0.522418	0.318829	0.553649	0.45361
603211092	0.785623	0.944663	0.861111	0.507897	0.429376	0.455385	0.912087	0.374521	0.394031	0.405587	0.448518	0	0.46067	0.245384	0.427804	1.05796	1	0.969274	0.34013	0.503593	0.470955	0.24307	0.474048	0.439987
604214091	1.01668	0.927818	0.922363	1.01117	7.08021e-05	0.892633	1.22224	0.477902	1.04636	0.662439	0	0	0.592518	0.262903	0.499782	1.03955	1	0.977234	0.517064	0.575467	0.481117	0.157374	0.50461	0.454772
605228011	1.248	0.837148	0.863248	1.29939	0.016129	0.77009	0.976845	0	0.570688	0	0	0	1.08228	0	1.18798	1.16889	1	0.956621	0	0.51854	0.496458	0.328969	0.585589	0.481611
606224012	1.22307	1.07281	1.10799	0.565687	0.565382	0.695363	1.12584	0	0.504615	0	0.530601	0	1.12079	0	1.14498	0.901413	1	1.09049	0	0.543278	0.492385	0.0274913	0.607331	0.553133
