SAMPLE	5UPKIR	HLA-E	HLA-G	KIR2DL1	KIR2DL2	KIR2DL3	KIR2DL4	KIR2DL5AB	KIR2DP1	KIR2DS1	KIR2DS2	KIR2DS3	KIR2DS4	KIR2DS5	KIR3DL1	KIR3DL2	KIR3DL3	KIR3DP1	KIR3DS1	LILRB1	LILRB2	LILRB3	LILRB4	LILRB5
364131061	25	35	37	30	0	19	36	0	24	0	0	0	27	0	33	26	32	39	0	0	0	0	0	0
365123011	28	30	29	22	35	0	30	29	16	16	28	20	12	0	22	38	24	24	16	0	0	0	0	0
366123012	55	38	35	29	19	26	45	0	19	0	15	0	43	0	44	29	48	42	0	0	0	0	0	0
367814101	38	29	31	30	0	35	41	20	26	11	0	0	17	0	21	30	32	33	16	0	0	0	0	0
368814102	44	35	27	39	0	36	38	0	41	0	0	0	35	0	39	33	35	39	0	0	0	0	0	0
369814111	27	31	25	25	0	33	35	0	45	0	0	0	34	0	36	41	35	29	0	0	0	0	0	0
370100041	29	26	28	41	0	30	42	0	22	0	0	0	26	0	38	31	27	40	15	0	0	0	0	0
37041012	31	25	29	32	15	11	32	32	15	10	15	30	14	0	27	30	26	29	15	0	0	0	0	0
371100011	60	20	37	36	19	19	30	21	33	0	18	16	34	0	39	31	35	23	0	0	0	0	0	0
372100051	37	34	28	42	32	0	28	48	27	21	28	16	16	0	23	31	30	31	16	0	0	0	0	0
373100091	37	38	36	35	0	38	37	0	34	0	0	0	38	0	41	45	34	19	0	0	0	0	0	0
374100071	19	24	29	25	0	29	29	0	28	0	0	0	30	0	30	35	26	21	0	0	0	0	0	0
375100081	27	24	28	33	11	18	30	17	27	0	8	8	30	0	42	43	35	24	0	0	0	0	0	0
376100111	46	24	28	0	37	0	30	15	0	13	29	0	17	0	24	26	38	36	13	0	0	0	0	0
377900041	34	36	30	31	0	37	36	0	37	0	0	0	40	0	37	31	34	36	0	0	0	0	0	0
378900081	36	31	33	40	16	18	34	16	40	0	19	12	19	0	29	11	31	35	0	0	0	0	0	0
379007151	32	23	26	33	0	28	25	0	25	0	0	0	28	0	30	32	32	32	0	0	0	0	0	0
380013012	44	51	53	54	0	44	47	0	50	0	0	0	44	0	52	48	48	45	0	0	0	0	0	0
38046011	25	20	18	19	17	0	12	21	19	13	20	12	10	0	12	17	21	11	0	0	0	0	0	0
381016011	36	33	29	36	46	0	41	18	16	0	33	19	37	0	39	35	39	32	0	0	0	0	0	0
382019052	43	37	40	20	16	24	49	25	27	22	25	0	22	0	35	53	48	39	21	0	0	0	0	0
383007071	37	32	33	38	0	36	35	0	36	0	0	0	32	0	36	38	38	42	0	0	0	0	0	0
384010051	31	27	28	14	13	13	23	11	12	14	14	0	10	0	27	25	25	27	17	0	0	0	0	0
385823082	25	24	27	30	0	21	25	10	27	8	0	0	12	0	23	28	29	37	10	0	0	0	0	0
386832101	41	25	28	35	13	15	33	16	32	0	15	11	28	0	28	34	32	30	0	0	0	0	0	0
387832102	45	35	40	38	0	46	40	0	45	0	0	0	45	0	35	35	36	41	0	0	0	0	0	0
388409011	35	19	36	19	16	18	29	18	19	25	27	0	13	0	30	23	34	24	16	0	0	0	0	0
390400091	42	35	37	34	41	23	57	42	8	21	21	0	21	0	48	35	35	51	46	0	0	0	0	0
39111041	32	30	25	26	0	25	25	12	20	14	0	0	14	0	14	35	28	33	11	0	0	0	0	0
391400051	28	31	34	40	0	41	36	0	40	0	0	0	34	0	33	26	32	35	0	0	0	0	0	0
392400061	39	29	30	17	15	10	34	0	21	0	14	0	34	0	37	33	38	28	0	0	0	0	0	0
393400101	30	36	31	31	0	29	31	21	33	14	0	0	14	0	24	39	44	34	21	0	0	0	0	0
394400011	30	31	35	34	14	11	31	15	46	0	18	17	33	0	37	26	33	34	0	0	0	0	0	0
395200244	24	22	26	30	16	16	29	12	34	0	15	13	22	0	36	36	25	26	0	0	0	0	0	0
396725011	53	42	38	53	0	46	36	0	54	0	0	0	45	0	54	44	42	46	0	0	0	0	0	0
397725012	26	25	28	37	17	18	24	11	33	0	11	14	28	0	25	39	31	29	0	0	0	0	0	0
398725051	34	28	26	15	13	15	29	0	18	0	19	0	35	0	26	37	32	31	0	0	0	0	0	0
399725052	44	39	37	40	0	37	42	0	48	0	0	0	40	0	37	38	52	37	0	0	0	0	0	0
401217031	36	28	27	30	13	15	33	45	38	35	15	28	0	0	0	27	33	25	29	0	0	0	0	0
40126061	40	27	36	27	14	23	33	17	30	0	13	16	37	0	34	17	34	23	0	0	0	0	0	0
402000439	36	36	25	40	0	33	28	15	31	8	0	0	13	0	18	37	30	32	20	0	0	0	0	0
403611041	34	25	38	43	15	15	45	34	42	11	18	15	22	0	26	37	29	31	18	0	0	0	0	0
404808011	42	40	36	40	0	43	32	0	43	0	0	0	45	0	31	36	52	51	0	0	0	0	0	0
405811051	26	17	20	21	0	28	22	0	32	0	0	0	23	0	22	22	27	21	0	0	0	0	0	0
406000435	43	31	36	32	0	33	35	0	30	0	0	0	38	0	36	41	34	38	0	0	0	0	0	0
407000434	47	35	39	41	0	37	43	0	45	0	0	0	38	0	35	45	43	27	0	0	0	0	0	0
408000441	29	26	31	37	1	30	29	0	26	0	0	0	28	0	23	24	36	34	0	0	0	0	0	0
409000527	27	36	40	41	0	34	53	0	32	0	0	0	34	0	48	40	30	61	24	0	0	0	0	0
410817061	29	27	24	37	29	0	28	28	30	0	28	24	28	0	26	27	26	30	0	0	0	0	0	0
41130012	32	21	27	22	18	9	16	16	16	22	15	0	15	0	14	31	36	12	0	0	0	0	0	0
411611051	35	28	33	40	1	33	40	20	44	22	0	0	18	0	31	25	31	40	19	0	0	0	0	0
412617011	27	18	23	18	16	10	25	11	28	0	16	13	22	0	23	27	20	28	0	0	0	0	0	0
413620032	25	24	29	14	11	13	25	12	10	14	14	0	14	0	18	27	33	23	14	0	0	0	0	0
414601022	34	22	28	25	0	30	32	0	13	0	0	0	31	0	25	43	25	36	0	0	0	0	0	0
415601031	25	27	30	29	16	14	30	12	27	0	13	15	20	0	27	30	23	27	0	0	0	0	0	0
416215041	27	29	25	29	0	26	45	0	22	0	0	0	27	0	32	23	36	42	14	0	0	0	0	0
417218092	35	32	30	38	0	28	38	17	30	20	0	17	18	0	24	27	40	26	21	0	0	0	0	0
420213011	39	33	36	35	16	16	32	36	32	10	15	33	20	0	28	32	40	37	23	0	0	0	0	0
421218041	39	31	34	40	1	25	36	15	32	12	0	17	16	0	25	34	37	36	18	0	0	0	0	0
42140012	26	21	27	13	19	13	34	21	24	14	17	15	14	0	19	27	34	32	17	0	0	0	0	0
422211031	26	22	25	18	13	14	26	0	19	0	14	0	40	0	33	31	27	39	0	0	0	0	0	0
423320091	31	30	31	41	14	15	36	13	40	0	17	12	34	0	26	46	48	36	0	0	0	0	0	0
424320092	36	37	40	34	0	41	47	20	40	21	0	0	24	0	26	41	42	32	17	0	0	0	0	0
425100248	38	44	37	67	2	44	67	44	62	29	0	16	23	0	38	48	40	55	44	0	0	0	0	0
426111081	55	38	44	55	25	13	48	40	44	20	24	20	22	0	25	43	46	46	22	0	0	0	0	0
427046021	28	28	24	24	0	32	40	8	30	9	0	0	14	0	19	19	25	37	29	0	0	0	0	0
428046012	22	30	34	43	15	12	35	26	33	17	23	12	18	0	19	31	38	26	9	0	0	0	0	0
429046101	32	20	21	26	0	20	29	0	38	0	0	0	49	0	24	38	28	30	0	0	0	0	0	0
431106051	37	25	26	36	0	36	33	14	34	16	0	0	12	0	26	23	37	32	14	0	0	0	0	0
43140021	22	23	22	36	0	26	30	14	34	15	0	15	13	0	16	23	32	31	15	0	0	0	0	0
432800071	31	28	31	21	33	0	32	38	12	20	31	15	19	0	28	39	33	37	21	0	0	0	0	0
433800072	42	37	37	34	22	23	38	0	24	0	21	0	40	0	47	41	37	50	0	0	0	0	0	0
434800024	42	31	27	37	37	0	39	38	23	18	36	16	21	0	27	49	41	42	19	0	0	0	0	0
435800114	37	29	30	35	0	29	34	0	36	0	0	0	34	0	31	38	40	26	0	0	0	0	0	0
436200080	39	28	39	44	19	22	35	13	33	0	0	0	39	0	26	27	40	37	0	0	0	0	0	0
437202011	39	33	27	44	0	29	27	19	38	15	0	0	18	0	24	35	43	40	13	0	0	0	0	0
438800029	32	27	17	16	17	11	29	0	18	0	8	0	24	0	26	20	36	30	0	0	0	0	0	0
439833011	37	27	26	18	15	17	22	0	8	0	15	0	29	0	28	27	28	30	0	0	0	0	0	0
441206011	42	46	50	27	17	16	16	41	28	38	26	0	0	0	0	39	51	20	18	0	0	0	0	0
44140022	27	28	21	34	0	27	30	0	34	0	0	0	23	0	26	29	24	26	0	0	0	0	0	0
445303031	31	24	27	42	0	31	28	13	19	13	0	0	16	0	21	25	32	29	17	0	0	0	0	0
446303051	42	53	59	60	2	62	54	0	62	0	0	0	30	0	56	29	61	53	0	0	0	0	0	0
447303052	36	34	36	30	0	38	32	0	39	0	0	0	33	0	34	30	39	31	0	0	0	0	0	0
449720041	34	27	26	21	15	15	31	28	13	26	18	0	0	0	0	22	27	30	35	0	0	0	0	0
451303101	52	41	33	89	1	52	46	0	50	0	0	0	38	0	44	51	46	40	0	0	0	0	0	0
45513012	39	27	30	32	0	40	34	18	49	22	0	0	17	0	21	33	33	40	13	0	0	0	0	0
458904031	39	26	26	36	14	8	29	31	28	18	13	14	21	0	19	24	30	32	7	0	0	0	0	0
461911071	38	22	22	14	32	0	23	22	14	12	26	25	14	0	19	14	29	25	18	0	0	0	0	0
462911072	46	33	39	32	0	42	42	0	35	0	0	0	46	0	37	41	42	41	0	0	0	0	0	0
463137092	34	36	28	17	13	21	33	16	18	18	12	0	16	0	22	32	32	32	20	0	0	0	0	0
464151061	36	33	38	43	30	0	35	54	37	23	14	20	16	0	32	35	40	28	15	0	0	0	0	0
46518081	44	30	40	25	0	35	30	21	34	24	0	0	17	0	27	34	33	37	13	0	0	0	0	0
465300832	31	30	34	31	0	43	36	0	32	0	0	0	29	0	30	33	35	23	0	0	0	0	0	0
466000377	39	31	32	33	0	31	39	16	38	20	0	0	19	0	26	36	44	39	21	0	0	0	0	0
467000378	39	25	24	34	0	23	36	0	38	0	0	0	12	0	26	20	39	31	0	0	0	0	0	0
468402011	42	36	38	47	0	47	41	0	46	0	0	0	42	0	38	41	39	39	0	0	0	0	0	0
469217021	42	32	35	14	19	14	37	0	24	0	12	0	33	0	34	32	36	40	0	0	0	0	0	0
470201041	54	45	46	59	0	44	55	0	49	0	0	0	52	0	55	53	63	52	0	0	0	0	0	0
471201042	41	28	34	0	42	0	16	16	0	30	42	18	14	0	15	25	37	15	0	0	0	0	0	0
472700136	30	22	28	30	0	26	33	0	27	0	0	0	30	0	29	25	26	26	0	0	0	0	0	0
473700138	35	28	25	33	0	40	23	0	32	0	0	0	26	0	37	28	25	41	0	0	0	0	0	0
474730041	21	25	20	20	28	0	17	41	12	34	27	15	0	0	0	24	32	11	10	0	0	0	0	0
47518082	36	37	45	46	19	25	43	15	45	0	15	18	38	0	40	34	37	45	0	0	0	0	0	0
475700124	37	25	21	45	14	14	30	15	30	0	16	0	26	0	27	32	28	33	0	0	0	0	0	0
476703051	36	34	27	25	14	15	35	0	27	0	18	0	39	0	41	42	34	42	0	0	0	0	0	0
477714051	43	31	29	37	30	0	35	38	31	0	28	31	27	0	45	27	37	28	0	0	0	0	0	0
478714091	31	29	20	19	0	32	27	0	21	0	0	0	21	0	27	27	24	27	0	0	0	0	0	0
479725051	30	18	21	20	0	28	30	11	18	9	0	0	10	0	17	19	22	23	15	0	0	0	0	0
48130071	38	26	25	36	14	16	48	13	17	0	17	13	29	0	34	30	26	37	9	0	0	0	0	0
481732011	32	23	28	33	0	25	30	0	24	0	0	0	29	0	29	30	29	32	0	0	0	0	0	0
482732051	40	33	43	44	0	39	34	0	32	0	0	0	41	0	39	41	41	40	0	0	0	0	0	0
483732031	47	32	28	30	18	11	37	0	28	0	17	0	36	0	34	32	37	31	0	0	0	0	0	0
486425051	29	34	30	39	14	21	28	27	29	16	19	32	16	0	28	22	31	35	13	0	0	0	0	0
487428061	44	38	45	41	0	31	43	0	31	0	0	0	41	0	43	46	38	35	0	0	0	0	0	0
488428071	28	29	23	36	0	27	49	12	29	14	0	0	16	0	21	44	39	40	35	0	0	0	0	0
489404031	32	30	29	30	30	0	31	13	14	0	0	0	34	0	33	21	28	32	0	0	0	0	0	0
490903011	32	27	36	33	0	43	36	16	25	22	0	0	18	0	24	27	31	37	16	0	0	0	0	0
49103041	47	42	38	44	0	35	47	0	37	0	0	0	40	0	41	50	39	42	0	0	0	0	0	0
491905071	30	32	38	17	12	17	34	21	15	17	15	0	13	0	22	29	34	26	17	0	0	0	0	0
492910021	48	50	46	51	0	45	48	19	55	32	0	0	21	0	38	49	58	48	29	0	0	0	0	0
493911021	34	26	29	37	0	31	33	0	33	0	0	0	31	0	40	32	23	37	0	0	0	0	0	0
494918051	31	28	28	35	29	1	27	50	30	18	31	47	21	0	19	40	40	34	18	0	0	0	0	0
495919111	41	40	41	23	16	18	38	0	17	0	22	0	34	0	41	47	49	34	0	0	0	0	0	0
496917101	36	23	34	25	0	38	28	0	30	0	0	0	27	0	23	34	31	29	0	0	0	0	0	0
497413041	32	19	21	27	0	29	30	0	38	0	0	0	25	0	24	27	27	28	0	0	0	0	0	0
498929061	27	31	21	32	14	15	27	13	20	0	12	0	33	0	24	35	28	29	0	0	0	0	0	0
500933081	32	37	39	49	0	46	39	0	47	0	0	0	36	0	28	48	37	38	0	0	0	0	0	0
50103042	36	33	28	40	0	34	31	0	43	0	0	0	30	0	36	39	35	35	0	0	0	0	0	0
501910081	48	46	48	36	49	0	43	25	31	0	50	25	43	0	51	46	46	48	0	0	0	0	0	0
