Sample	Gene	Ratio	Heterozygosis	Order
304100101	HLA-E	0.720082	heterozygosis: unknown	36
210800028	HLA-E	0.721033	heterozygosis: unknown	37
436200080	HLA-E	0.721436	heterozygosis: unknown	38
376100111	HLA-E	0.722843	heterozygosis: unknown	39
1261523701	HLA-E	0.723523	heterozygosis: yes (1-2)	40
488428071	HLA-E	0.724094	heterozygosis: unknown	41
1059310901	HLA-E	0.726887	heterozygosis: yes (1-2)	42
205300083	HLA-E	0.728010	heterozygosis: unknown	43
405811051	HLA-E	0.728688	heterozygosis: unknown	44
1170503901	HLA-E	0.730585	heterozygosis: unknown	45
467000378	HLA-E	0.730877	heterozygosis: unknown	46
647405102	HLA-E	0.730960	heterozygosis: unknown	47
59603011	HLA-E	0.732015	heterozygosis: unknown	48
611508041	HLA-E	0.735580	heterozygosis: unknown	49
36041011	HLA-E	0.737941	heterozygosis: unknown	50
522715031	HLA-E	0.739169	heterozygosis: unknown	51
137701061	HLA-E	0.740478	heterozygosis: unknown	52
210800052	HLA-E	0.741499	heterozygosis: yes (1-2)	53
215712101	HLA-E	0.741627	heterozygosis: unknown	54
1144306901	HLA-E	0.742548	heterozygosis: unknown	55
521601061	HLA-E	0.742935	heterozygosis: unknown	56
210800088	HLA-E	0.743011	heterozygosis: unknown	57
210800118	HLA-E	0.743028	heterozygosis: yes (1-2)	58
303100081	HLA-E	0.745373	heterozygosis: unknown	59
470201041	HLA-E	0.746411	heterozygosis: unknown	60
870400071	HLA-E	0.746521	heterozygosis: yes (1-2)	61
547000448	HLA-E	0.747764	heterozygosis: yes (1-2)	62
1079410601	HLA-E	0.749583	heterozygosis: unknown	63
1022306301	HLA-E	0.750056	heterozygosis: yes (1-2)	64
1138100101	HLA-E	0.750461	heterozygosis: yes (1-2)	65
43140021	HLA-E	0.750608	heterozygosis: unknown	66
1250226501	HLA-E	0.751135	heterozygosis: unknown	67
1238224501	HLA-E	0.751298	heterozygosis: yes (1-2)	68
271110101	HLA-E	0.752087	heterozygosis: unknown	69
1132140901	HLA-E	0.752591	heterozygosis: unknown	70
1272231301	HLA-E	0.752721	heterozygosis: unknown	71
172901102	HLA-E	0.752778	heterozygosis: unknown	72
210800024	HLA-E	0.753793	heterozygosis: yes (1-2)	73
266102011	HLA-E	0.755125	heterozygosis: unknown	74
195211032	HLA-E	0.755239	heterozygosis: unknown	75
210800067	HLA-E	0.755838	heterozygosis: yes (1-2)	76
64404101	HLA-E	0.756286	heterozygosis: yes (1-2)	77
168921021	HLA-E	0.756469	heterozygosis: yes (1-2)	78
260803041	HLA-E	0.758474	heterozygosis: unknown	79
839007051	HLA-E	0.758559	heterozygosis: unknown	80
1003210301	HLA-E	0.759029	heterozygosis: unknown	81
1054020501	HLA-E	0.759266	heterozygosis: unknown	82
332205021	HLA-E	0.759349	heterozygosis: unknown	83
836930072	HLA-E	0.762295	heterozygosis: unknown	84
806105102	HLA-E	0.762725	heterozygosis: unknown	85
322703021	HLA-E	0.763520	heterozygosis: unknown	86
184817091	HLA-E	0.763528	heterozygosis: unknown	87
820000506	HLA-E	0.765669	heterozygosis: unknown	88
1119561901	HLA-E	0.766168	heterozygosis: unknown	89
466000377	HLA-E	0.766176	heterozygosis: unknown	90
674703041	HLA-E	0.767549	heterozygosis: unknown	91
865000557	HLA-E	0.769491	heterozygosis: unknown	92
375100081	HLA-E	0.769637	heterozygosis: unknown	93
366123012	HLA-E	0.769836	heterozygosis: unknown	94
586000089	HLA-E	0.770028	heterozygosis: unknown	95
351944071	HLA-E	0.771901	heterozygosis: unknown	96
227708102	HLA-E	0.772254	heterozygosis: unknown	97
494918051	HLA-E	0.772353	heterozygosis: unknown	98
100102082	HLA-E	0.772435	heterozygosis: unknown	99
191735081	HLA-E	0.773382	heterozygosis: unknown	100
568112011	HLA-E	0.773423	heterozygosis: yes (1-2)	101
210800081	HLA-E	0.774271	heterozygosis: unknown	102
423320091	HLA-E	0.774296	heterozygosis: yes (1-2)	103
835930011	HLA-E	0.775617	heterozygosis: unknown	104
185706052	HLA-E	0.775688	heterozygosis: yes (1-2)	105
1204538102	HLA-E	0.775873	heterozygosis: unknown	106
681000475	HLA-E	0.776870	heterozygosis: unknown	107
428046012	HLA-E	0.776891	heterozygosis: unknown	108
1102304001	HLA-E	0.778237	heterozygosis: yes (1-2)	109
